CodigoCompraAgil;Nombre;Descripcion;EstadoID;EstadoCodigo;EstadoGlosa;ConvocatoriaEstado;ConvocatoriaDescripcion;FechaCierrePrimerLlamado;FechaCierreSegundoLlamado;FechaPublicacion;FechaCierre;FechaUltimoCambio;FechaCancelacion;DireccionEntrega;PlazoEntregaDias;TipoPresupuesto;Moneda;PresupuestoEstimado;MontoDisponible;MontoDisponibleCLP;ValorCambioMoneda;FechaCambioMoneda;OC_ID;OC_Codigo;OrganismoComprador;RutComprador;UnidadCompra;Region;NombreRegion;MultaSancion;TotalOfertasRecibidas;TotalDemandas;MotivoCancelacion;MotivoDesierta;MotivoSeleccion;RequisitosMedioambientales;RequisitosImpactoSocial;TotalDocumentos;TotalProductosSolicitados;TotalProveedoresCotizando
1057922-168-COT25;F5-050-BMC-ADQUISICION PALLET PLASTICO PARA CESFAM CON SAR CHUYACA;ADQUISICIÓN DE EQUIPOS Y EQUIPAMIENTO NO MÉDICO PARA CESFAM CON SAR CHUYACA;6;desierta;Desierta;2;Segundo llamado;2025-11-20 14:00;2025-11-22 13:18;2025-11-18 14:41;2025-11-22 13:18;2025-11-25 15:51;;AMADOR BARRIENTOS #2360;5;Estimado;CLP;1000000;1000000;1000000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Activos Fijos;10;Región de los Lagos ;1;1;0;;Oferta no cumple requerimiento obligatorio.;;False;False;3;1;1
1057922-139-COT25;F5-051-BMC-ADQUISICION SET DE LOCKERS+BANCA 80 X 40 CM PARA COSAM RAHUE;ADQUISCIÓN DE EQUIPAMIENTO NO MÉDICO PARA HABILITACIÓN DE COSAM RAHUE, COMUNA DE OSORNO;6;desierta;Desierta;2;Segundo llamado;2025-10-29 10:00;2025-11-22 12:13;2025-10-27 12:21;2025-11-22 12:13;2025-11-25 15:48;;Amador Barrientos N°2360;5;Estimado;CLP;2239000;2239000;2239000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Activos Fijos;10;Región de los Lagos ;1;2;0;;Ofertas no cumplen requerimientos técnicos obligatorios.;;False;False;3;2;2
1057922-154-COT25;F5-037-BMC-ADQUISICIÓN DE MESA MAYO REPOSICIÓN CECOSF EL ENCANTO, COMUNA DE PUYEHUE;Adquisición de equipos y equipamiento para habilitación de CECOSF El Encanto, comuna de Puyehue.;6;desierta;Desierta;2;Segundo llamado;2025-11-15 18:00;2025-11-20 17:32;2025-11-13 12:46;2025-11-20 17:32;2025-11-25 13:21;;Manuel Rodríguez N°759;5;Estimado;CLP;420000;420000;420000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Activos Fijos;10;Región de los Lagos ;1;6;0;;Ofertas no cumplen los requerimientos técnicos.;;False;False;3;1;6
1057922-172-COT25;F5-050-BMC-ADQUISICION MOBILIARIO PARA CESFAM CON SAR CHUYACA;ADQUISICIÓN DE EQUIPOS Y EQUIPAMIENTO NO MÉDICO PARA CESFAM CON SAR CHUYACA;6;desierta;Desierta;2;Segundo llamado;2025-11-20 14:00;2025-11-22 12:42;2025-11-18 15:17;2025-11-22 12:42;2025-11-25 12:30;;AMADOR BARRIENTOS #2360 (BASE SAMU);5;Estimado;CLP;661000;661000;661000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Activos Fijos;10;Región de los Lagos ;1;0;0;;No se presentaron ofertas.;;False;False;5;3;0
1057922-170-COT25;F5-050-BMC-ADQUISICION PERCHERO MURAL PARA CESFAM CON SAR CHUYACA OSORNO;ADQUISICIÓN DE EQUIPOS Y EQUIPAMIENTO NO MÉDICO PARA CESFAM CON SAR CHUYACA;6;desierta;Desierta;2;Segundo llamado;2025-11-20 14:00;2025-11-22 13:13;2025-11-18 14:46;2025-11-22 13:13;2025-11-25 12:30;;Manuel Rodriguez #759;5;Estimado;CLP;16000;16000;16000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Activos Fijos;10;Región de los Lagos ;1;0;0;;No se presentaron ofertas.;;False;False;3;1;0
1057922-152-COT25;F5-037-BMC-ADQUISICIÓN DE NEGATOSCOPIO REPOSICIÓN CECOSF EL ENCANTO, COMUNA DE PUYEHUE;Adquisición de equipos y equipamiento para habilitación de CECOSF El Encanto, comuna de Puyehue.;6;desierta;Desierta;2;Segundo llamado;2025-11-15 18:00;2025-11-20 16:46;2025-11-13 12:40;2025-11-20 16:46;2025-11-25 12:28;;Manuel Rodriguez # 759;5;Estimado;CLP;300000;300000;300000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Activos Fijos;10;Región de los Lagos ;1;1;0;;Oferta supera el presupuesto disponible.;;False;False;3;1;1
1057922-171-COT25;F5-050-BMC-ADQUISICION EQUIPAMIENTO NO MEDICO PARA CESFAM CON SAR CHUYACA;ADQUISICIÓN DE EQUIPOS Y EQUIPAMIENTO NO MÉDICO PARA CESFAM CON SAR CHUYACA;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-11-20 14:00;2025-11-22 12:51;2025-11-18 15:08;2025-11-20 14:00;2025-11-25 04:23;;AMADOR BARRIENTOS #2360;5;Estimado;CLP;3177000;3177000;3177000;;;53893105;;SERVICIO DE SALUD OSORNO;61.607.600-0;Activos Fijos;10;Región de los Lagos ;1;2;0;;;;False;False;8;6;2
1057922-169-COT25;F5-050-BMC-ADQUISICION RELOJ MURAL PARA CESFAM CON SAR CHUYACA;ADQUISICIÓN DE EQUIPOS Y EQUIPAMIENTO NO MÉDICO PARA CESFAM CON SAR CHUYACA;4;proveedor_seleccionado;Proveedor seleccionado;2;Segundo llamado;2025-11-20 14:00;2025-11-22 13:15;2025-11-18 14:44;2025-11-22 13:15;2025-11-25 04:20;;MANUEL RODRIGUEZ #759;5;Estimado;CLP;48000;48000;48000;;;53893043;;SERVICIO DE SALUD OSORNO;61.607.600-0;Activos Fijos;10;Región de los Lagos ;1;3;0;;;;False;False;3;1;3
1057922-163-COT25;F5-037-BMC-ADQUISICIÓN DE SET DE EQUIPAMIENTO DIAGNOSTICO REPOSICIÓN CECOSF EL ENCANTO, COMUNA DE PUYEHUE;Adquisición de equipos y equipamiento para habilitación de CECOSF El Encanto, comuna de Puyehue.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-11-21 08:00;2025-11-24 04:34;2025-11-18 11:25;2025-11-21 08:00;2025-11-25 03:59;;Manuel Rodríguez # 759;5;Estimado;CLP;550000;550000;550000;;;53892642;;SERVICIO DE SALUD OSORNO;61.607.600-0;Activos Fijos;10;Región de los Lagos ;1;1;0;;;;False;False;3;1;1
1057922-155-COT25;F5-037-BMC-ADQUISICIÓN DE DETECTOR DE LATIDOS CARDIOFETALES REPOSICIÓN CECOSF EL ENCANTO, COMUNA DE PUYEHUE;Adquisición de equipos y equipamiento para habilitación de CECOSF El Encanto, comuna de Puyehue.;4;proveedor_seleccionado;Proveedor seleccionado;2;Segundo llamado;2025-11-15 18:00;2025-11-20 16:48;2025-11-13 12:29;2025-11-20 16:48;2025-11-25 03:55;;Manuel Rodríguez N°759;5;Estimado;CLP;410000;410000;410000;;;53892541;;SERVICIO DE SALUD OSORNO;61.607.600-0;Activos Fijos;10;Región de los Lagos ;1;4;0;;;;False;False;3;1;4
