CodigoCompraAgil;Nombre;Descripcion;EstadoID;EstadoCodigo;EstadoGlosa;ConvocatoriaEstado;ConvocatoriaDescripcion;FechaCierrePrimerLlamado;FechaCierreSegundoLlamado;FechaPublicacion;FechaCierre;FechaUltimoCambio;FechaCancelacion;DireccionEntrega;PlazoEntregaDias;TipoPresupuesto;Moneda;PresupuestoEstimado;MontoDisponible;MontoDisponibleCLP;ValorCambioMoneda;FechaCambioMoneda;OC_ID;OC_Codigo;TieneOC;OrganismoComprador;RutComprador;UnidadCompra;Region;NombreRegion;MultaSancion;TotalOfertasRecibidas;TotalDemandas;MotivoCancelacion;MotivoDesierta;MotivoSeleccion;RequisitosMedioambientales;RequisitosImpactoSocial;TotalDocumentos;TotalProductosSolicitados;TotalProveedoresCotizando
1057532-226-COT26;F1-218-26-DCR/Adquisición de Pala y Escobillón para Subdepto. de Farmacia;Adquisición de Pala recogedora y Escobillón industrial para Subdepto. de Farmacia, según Especificaciones indicadas en el producto. Se solicita: Completar y firmar Formularios adjuntos. Enviar cotización detallada(documento de proveedor);3;cerrada;Cerrada;1;Primer llamado;2026-05-28 16:00;2026-05-29 16:04;2026-05-27 15:55;2026-05-28 16:00;2026-05-28 16:05;;Av. Manuel Rodriguez 759;3;Estimado;CLP;45000;45000;45000;;;;;False;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;1;0;;;;False;False;1;2;0
1057532-225-COT26;F1-218-26-DCR/Adquisición de Elementos de Protección para Subdepto. de Farmacia;Adquisición de Tijeras, sobres y bolsas herméticas, según Especificaciones indicadas en el producto. Serán declaradas inadmisibles las ofertas que no cumplan lo siguiente: 1) Completar y firmar Formularios adjuntos. 2) Adjuntar Cotización detallada + imagen + ficha técnica de lo ofertado, según especificaciones adjuntas. 3) Indicar en días hábiles el plazo de envío.;3;cerrada;Cerrada;1;Primer llamado;2026-05-28 16:00;2026-05-29 16:13;2026-05-27 15:46;2026-05-28 16:00;2026-05-28 16:05;;Av. Manuel Rodriguez 759;5;Estimado;CLP;60000;60000;60000;;;;;False;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;1;0;;;;False;False;2;2;0
1057532-223-COT26;F1-218-26-DCR/Adquisición de materiales para Subdepto. de Farmacia;Adquisición de Tijeras, sobres y bolsas herméticas, según Especificaciones indicadas en el producto.  Serán declaradas inadmisibles las ofertas que no cumplan lo siguiente:  1) Completar y firmar Formularios adjuntos.  2) Adjuntar Cotización detallada + imagen + ficha técnica de lo ofertado, según especificaciones adjuntas.  3) Indicar en días hábiles el plazo de envío.;2;publicada;Publicada;2;Segundo llamado;2026-05-28 15:00;2026-05-29 15:56;2026-05-27 14:40;2026-05-29 15:56;2026-05-28 15:40;;Av. Manuel Rodriguez 759.;5;Estimado;CLP;395000;395000;395000;;;;;False;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;0;0;;;;False;False;2;6;0
1057532-234-COT26;F1-246-26-DCR/Adquisición de tarros de café para reuniones y/o talleres;Adquisición de 7 Tarros de café de 400 gramos para realización de talleres, reuniones territoriales y capacitaciones en el tema de migrantes a los equipos de salud municipales y dependientes del Servicio de Salud Osorno y acciones con comunidad y mesas territoriales de usuarios migrantes, según Especificaciones indicadas en el producto. Se solicita: Completar y firmar Formularios adjuntos. Enviar cotización detallada(documento de proveedor);2;publicada;Publicada;1;Primer llamado;2026-05-29 15:30;2026-05-30 15:35;2026-05-28 15:24;2026-05-29 15:30;2026-05-28 15:25;;Av. Manuel Rodriguez 759.;5;Estimado;CLP;120000;120000;120000;;;;;False;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;2;0;;;;False;False;1;1;0
1057532-233-COT26;F1-206-26-DCR/Adquisición de timbres Programa PRAIS;Adquisición de 9 Timbres de Programa PRAIS, según Especificaciones adjuntas. Se solicita: Completar y firmar Formularios adjuntos. Enviar cotización detallada(documento de proveedor). Indicar plazo de entrega en días hábiles.;2;publicada;Publicada;1;Primer llamado;2026-05-29 15:00;2026-05-30 15:03;2026-05-28 14:56;2026-05-29 15:00;2026-05-28 15:00;;Av. Manuel Rodriguez 759.;7;Estimado;CLP;140000;140000;140000;;;;;False;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;6;0;;;;False;False;2;1;0
1057532-233-COT26;F1-206-26-DCR/Adquisición de timbres Programa PRAIS;Adquisición de 9 Timbres de Programa PRAIS, según Especificaciones adjuntas. Se solicita: Completar y firmar Formularios adjuntos. Enviar cotización detallada(documento de proveedor). Indicar plazo de entrega en días hábiles.;2;publicada;Publicada;1;Primer llamado;2026-05-29 15:00;2026-05-30 15:03;2026-05-28 14:56;2026-05-29 15:00;2026-05-28 15:00;;Av. Manuel Rodriguez 759.;7;Estimado;CLP;140000;140000;140000;;;;;False;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;6;0;;;;False;False;2;1;0
1057532-232-COT26;Contratación Servicio de Internet Empresa por 2 meses ( Junio – Julio 2026) + Telefonía Línea Fija con equipo en comodato;Se requiere la contratación de Servicio de Internet telefonía Línea Fija para Base SAMU Rahue, ubicado en calle Guatemala N°1402 Rahue Alto de la ciudad de Osorno. El Formulario de Especificaciones Técnicas es OBLIGATORIO;2;publicada;Publicada;1;Primer llamado;2026-05-29 17:00;;2026-05-28 14:36;2026-05-29 17:00;2026-05-28 14:40;;Calle Guatemala N°1402;10;Estimado;CLP;120000;120000;120000;;;;;False;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;0;0;;;;False;False;1;1;0
1057532-231-COT26;F1-218-26-DCR/Adquisición de Tóners para Subdepto. de Farmacia;SE REQUIERE LA ADQUISICIÓN DE TÓNERS SEGUN ESPECIFICACIONES. Serán declaradas inadmisibles las ofertas que no cumplan lo siguiente: 1) Adjuntar Formulario N°1 y Declaración Jurada Simple. Completada y Firmada. 2) Adjuntar Cotización detallada. 3) Indicar en días hábiles el plazo de envío;2;publicada;Publicada;1;Primer llamado;2026-05-29 12:00;2026-05-30 12:04;2026-05-28 11:55;2026-05-29 12:00;2026-05-28 12:00;;Av. Manuel Rodriguez 759.;5;Estimado;CLP;50000;50000;50000;;;;;False;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;1;0;;;;False;False;2;1;0
1057532-230-COT26;F1-220-26-DCR/Adquisición de Recetarios y Talonarios de Exámenes/Newen;SE REQUIERE LA ADQUISICIÓN DE RECETARIOS Y TALONARIOS SEGUN ESPECIFICACIONES. Serán declaradas inadmisibles las ofertas que no cumplan lo siguiente: 1) Adjuntar Formulario N°1 y Declaración Jurada Simple. Completada y Firmada. 2) Adjuntar Cotización detallada + imagen de lo ofertado, según especificaciones adjuntas. 3) Indicar en días hábiles el plazo de envío;2;publicada;Publicada;1;Primer llamado;2026-05-29 12:00;2026-05-30 12:27;2026-05-28 11:32;2026-05-29 12:00;2026-05-28 11:35;;Av. Manuel Rodriguez 759.;5;Estimado;CLP;140000;140000;140000;;;;;False;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;2;0;;;;False;False;4;2;0
1057532-229-COT26;F1-369-26-NAM / ADQUISICIÓN DE 3 CONTROL REMOTO 4 CANALES (Veloti);SE REQUIERE LA ADQUISICIÓN DE 3 CONTROL REMOTO 4 CANALES (Veloti), SEGUN EETT ADJUNTAS.  1) Serán desestimadas las ofertas que no adjunten el Formularios Anexo Proveedor.  2) Adjuntar cotización detallada + imagenes de productos ofertados (archivo proveedor), según especificaciones técnicas adjuntadas  3) Debe indicar en días habiles el plazo de envio, dado que se tomará como parte de evaluación de adjudicación;2;publicada;Publicada;1;Primer llamado;2026-05-29 13:00;2026-05-30 14:44;2026-05-28 11:15;2026-05-29 13:00;2026-05-28 11:20;;Av. Manuel Rodriguez #759;3;Estimado;CLP;80000;80000;80000;;;;;False;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;0;0;;;;False;False;2;1;0
