CodigoCompraAgil;Nombre;Descripcion;EstadoID;EstadoCodigo;EstadoGlosa;ConvocatoriaEstado;ConvocatoriaDescripcion;FechaCierrePrimerLlamado;FechaCierreSegundoLlamado;FechaPublicacion;FechaCierre;FechaUltimoCambio;FechaCancelacion;DireccionEntrega;PlazoEntregaDias;TipoPresupuesto;Moneda;PresupuestoEstimado;MontoDisponible;MontoDisponibleCLP;ValorCambioMoneda;FechaCambioMoneda;OC_ID;OC_Codigo;TieneOC;OrganismoComprador;RutComprador;UnidadCompra;Region;NombreRegion;MultaSancion;TotalOfertasRecibidas;TotalDemandas;MotivoCancelacion;MotivoDesierta;MotivoSeleccion;RequisitosMedioambientales;RequisitosImpactoSocial;TotalDocumentos;TotalProductosSolicitados;TotalProveedoresCotizando
1057532-202-COT26;F1-165-26-DCR/Servicio de Interpretación Lengua de Señas para Cuenta Pública;Realizar interpretación Lengua de Señas para Cuenta Pública Gestión 2025,  el día 01 de julio de 2026. Se adjuntan Especificaciones del servicio. Se solicita completar y firmar Formularios adjuntos obligatorios.;3;cerrada;Cerrada;2;Segundo llamado;2026-05-19 15:30;2026-05-20 15:59;2026-05-18 15:00;2026-05-20 15:59;2026-05-20 16:05;;A convenir.;1;Estimado;CLP;236000;236000;236000;;;;;False;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;1;0;;;;False;False;0;1;1
1057532-183-COT26;Inspección y Certificación de instalaciones de gas;Contar con el servicio de inspección y certificación de las instalaciones interiores de gas del establecimiento Peulla Residencial (cocina y calefón) y gestionar la obtención del certificado correspondiente (Sello verde). Solo instaladores Autorizados SEC Clase 2 o superior, certificación de instalaciones interiores de gas mediante plataforma CIIGe. Adjuntar obligatoriamente Certificado de Instalador Autorizado SEC, EE.TT firmadas y declaración jurada simple complementaria sobre inhabilidades.;6;desierta;Desierta;2;Segundo llamado;2026-05-15 15:00;2026-05-20 08:08;2026-05-13 14:46;2026-05-20 08:08;2026-05-20 15:10;;Garcia Hurtado N°945 Osorno;5;Disponible;CLP;200000;200000;200000;;;;;False;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;0;0;;No se recibieron ofertas;;False;False;0;1;0
1057532-204-COT26;F1-155-26-AVP//Adquisicion de basureros para Cosam Oriente/Plaza Sol;El oferente interesado en participar debe ofertar la totalidad del requerimiento, además deberá adjuntar un respaldo fotográfico de lo que oferta, como también debe indicar el plazo de entrega, ya sea en días corridos o hábiles. además, deberá considerar los adjuntos rellenar y firmar los formularios obligatorios Las ofertas que cumplan con los requisitos antes mencionados, será sometidas a la correspondiente evaluación.;3;cerrada;Cerrada;1;Primer llamado;2026-05-20 12:00;2026-05-22 08:37;2026-05-18 15:22;2026-05-20 12:00;2026-05-20 12:05;;Manuel Rodriguez 759;5;Estimado;CLP;150000;150000;150000;;;;;False;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;1;5;0;;;;False;False;0;2;0
1057532-199-COT26;F1-134-DCR/Adquisición de carpetas para las jornadas de capacitación dirigidas a los Equipos CPU APS y Hospitales.;Adquisición de carpetas plastificadas tamaño oficio para las jornadas de capacitación dirigidas a los Equipos CPU APS y Hospitales, según Especificaciones indicadas en el producto. Se solicita: Completar y firmar Formularios adjuntos. Enviar cotización detallada(documento de proveedor);6;desierta;Desierta;2;Segundo llamado;2026-05-19 11:00;2026-05-20 11:16;2026-05-18 10:43;2026-05-20 11:16;2026-05-20 11:55;;Av. Manuel Rodriguez 759.;5;Estimado;CLP;250000;250000;250000;;;;;False;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;1;0;;Monto ofertado excede en un 168,12% el presupuesto autorizado.;;False;False;0;1;1
1077241-11-COT26;F1-181-26-DCR/Adquisición Insumos de Cafetería COSAM Rahue;Adquisición de Insumos de Cafetería para COSAM Rahue. Entrega a coordinar con referente ya que jornada de Capacitación a dotación de COSAM Rahue y Comunidad Mapuche Huilliche está planificada con fecha 29-05-2026 , según Especificaciones adjuntas. Se solicita: Completar y firmar Formularios adjuntos. Enviar cotización detallada(documento de proveedor) y Adjuntar Resolución Sanitaria.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2026-05-19 10:00;2026-05-20 10:00;2026-05-18 09:59;2026-05-19 10:00;2026-05-20 10:35;;Guatemala N°1402, Rahue Alto;1;Estimado;CLP;250000;250000;250000;;;54841526;;True;SERVICIO DE SALUD OSORNO;61.607.600-0;Administración de Fondos;10;Región de los Lagos ;0;1;0;;;;False;False;0;6;1
1057532-209-COT26;Adquisición de insumos desierto en proceso L.P. para COSAM Rahue.;Se requiere insumos faltante para COSAM RAHUE. Se debe adjuntar Resolución Sanitaria de Distribución insumos. Segun Especificaciones tecnicas adjuntas.;5;cancelada;Cancelada;1;Primer llamado;2026-05-23 10:00;2026-05-26 10:15;2026-05-20 09:44;2026-05-23 10:00;2026-05-20 09:55;2026-05-20 09:53;Av. Manuel Rodriguez 729,;3;Estimado;CLP;690000;690000;690000;;;;;False;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;0;0;Por error en unidades test drogas;;;False;False;0;6;0
1057532-192-COT26;F2-26-26-JOA/Adquisición de insumos desierto en proceso L.P. para COSAM Rahue.;Se requiere insumos faltante para COSAM RAHUE. Se debe adjuntar Resolución Sanitaria de Distribución insumos. Segun Especificaciones tecnicas adjuntas.;6;desierta;Desierta;2;Segundo llamado;2026-05-15 15:00;2026-05-19 13:53;2026-05-14 10:55;2026-05-19 13:53;2026-05-20 09:35;;Av. Manuel Rodriguez 759,;3;Estimado;CLP;690000;690000;690000;;;;;False;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;2;0;;Los oferentes no cotizaron todos los insumos solicitado;;False;False;0;6;2
1057532-196-COT26;F2-30-26-RVM / ADQUISICION DE CALZADO DE SEGURIDAD PARA FUNCIONARIOS DE DROGUERÍA-BODEGA GENERAL-BODEGA INVERSIONES DEL SSO;EEPP para funcionarios de Droguería-Bodega General-Bodega Inversiones, según especificaciones adjuntas.DEBERÁ CUMPLIR CON LAS ESPECIFICACIONES TÉCNICAS ADJUNTAS ADEMÁS DE FIRMARLAS. ASIMISMO, SE SOLICITA OBLIGATORIAMENTE COMPLETAR Y FIRMAR LOS FORMULARIOS ADJUNTOS.;3;cerrada;Cerrada;1;Primer llamado;2026-05-20 09:30;2026-05-22 09:38;2026-05-18 09:21;2026-05-20 09:30;2026-05-20 09:35;;Manuel Rodriguez # 759;5;Estimado;CLP;400000;400000;400000;;;;;False;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;7;0;;;;False;False;0;5;0
1057532-191-COT26;F1-157-26-DCR/Adquisición de Insumos de Escritorio para Oficina de Partes.;Adquisición de Insumos de Escritorio para Oficina de Partes, según Especificaciones adjuntas. Se solicita: Completar y firmar Formularios adjuntos. Enviar cotización detallada (documento de proveedor).;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2026-05-15 10:00;2026-05-16 10:25;2026-05-14 09:34;2026-05-15 10:00;2026-05-20 09:25;;Av. Manuel Rodriguez;5;Disponible;CLP;214000;214000;214000;;;54840299;;True;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;1;0;;;;False;False;0;7;1
1057532-185-COT26;F1-137-26-DCR/Adquisición de Timbre y Formulario duplicado;Adquisición de Timbre Automático redondo y Talonario tamaño oficio con duplicado, según Especificaciones adjuntas. Se solicita: Completar y firmar Formularios adjuntos. Enviar cotización detallada(documento de proveedor);4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2026-05-14 12:30;2026-05-15 12:34;2026-05-13 12:25;2026-05-14 12:30;2026-05-20 09:05;;Av. Manuel Rodriguez, 759.;5;Estimado;CLP;45000;45000;45000;;;54839990;;True;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;2;0;;;;False;False;0;2;2
