CodigoCompraAgil;CodigoProducto;Nombre;Descripcion;Cantidad;UnidadMedida
1077241-25-COT25;52121703;Toalla de cara;30 Toallas pequeñas de cara de 25 x 25 cm o 30 x 30 cm, blancas o de colores;30;EA
1077241-25-COT25;31241702;Espejos metálicos;1 Espejo para cuerpo completo que tenga sujetador de pie, medida aproximada 160 x 50 cm;1;EA
1077241-25-COT25;42211808;Cortaúñas o limas para personas con discapacidad física;30 unidades de cortauñas de 6 cm o 7 cm;30;EA
1077241-25-COT25;42211808;Cortaúñas o limas para personas con discapacidad física;30 unidades de limas de uñas, puede ser de colores o neutra;30;EA
1077241-25-COT25;60121242;Delantales;30 unidades de delantales tipo mandil para cocinar;30;EA
1057532-259-COT25;14121503;Cartulina;50 PLIEGO DE CARTULINAS DIFERENTE COLORES;50;EA
1057532-259-COT25;60105704;Barras de pegamento libres de ácido;10 BARRA DE PEGAMENTO STICK FIX DE 36 GRS.;10;EA
1057532-259-COT25;14111537;Papel de etiquetas;8 SOBRE ETIQUETA AUTOADHESIVAS BLANCAS 212X138 MM ADETEC;8;EA
1057532-259-COT25;14111537;Papel de etiquetas;7 POST-IT CUBO NEON 5 COLORES DE 76X76 MM DE 500 HOJAS;7;EA
1057532-259-COT25;44121708;Marcadores;15 MARCADORES DE PIZARRA COLORES NEGRO, AZUL, ROJO Y VERDE;15;EA
1057532-259-COT25;44121506;Sobres estándar;150 SOBRE BLANCO EXTRA OFICIO;150;EA
1057532-259-COT25;60123001;Figuras de goma Eva;10 SET DE GOMA SURTIDO COLORES, DE 20X30 CMS.;10;EA
1057532-259-COT25;14111610;Cartulina;15 PLIEGO DE PAPEL CRAFT;15;EA
1057532-259-COT25;60105505;Materiales educativos de decoración o mobiliario del hogar;2 BOLSA DE GLOBOS COLORES SURTIDO, 100 UNIDADES;2;BG
1057532-259-COT25;44121708;Marcadores;6 CAJA LAPIZ SCRIPTO DE 12 COLORES;6;EA
1057532-259-COT25;12352310;Siliconas;20 BARRA DE SILICONA unidades;20;EA
1057532-259-COT25;31201517;Cinta para empaquetar;10 CINTA MASKING TAPE DE 24 MM.;10;EA
1057532-259-COT25;46101504;Pistolas;1 PISTOLA DE SILICONA TAMAÑO 10 W;1;EA
1057532-259-COT25;44102801;Plastificadoras;1 TERMOLAMINDADORA PLASTIFICADORA A4;1;EA
1057532-259-COT25;60121518;Lápices de grafito;1 CAJA DE LAPIZ GRAFITO 12 UNIDADES;1;BX
1057532-259-COT25;47131612;Gomas de repuesto;1 CAJA GOMAS DE BORRAR 20 UNIDADES;1;BX
1057532-259-COT25;60121109;Blocs de dibujo;5	BLOK DE DIBULO N°99 1/8;5;EA
1057532-259-COT25;24111503;Bolsas de plástico;1000 BOLSA TRANSPARENTE DE CELOFAN DE 10X15 CMS, (1000 UNIDADES);1000;EA
1057532-259-COT25;31162504;Soportes para accesorios de alumbrado;1000 AMARRAS METALICAS DIFERENTES COLORES, 1000 UNIDADES;1000;EA
1057532-259-COT25;60124317;Masa de modelado;5 CAJA DE PLASTICINA DE 12 COLORES,;5;BX
1057532-259-COT25;14111606;Papel artístico o papel Kraft;1 ROLLO DE PAPEL CRAFT DE 40X 230 CMS.;1;RO
1057532-259-COT25;14111509;Artículos de papelería;CAJA DE OPALINA BLANCA LISA, TAMAÑO CARTA 200 GRS. 100 UNIDADES;4;RM
1057532-259-COT25;52151507;Bombillas o pajillas para beber;2 SET BOMBILLAS PLASTICAS SURTIDO COLORES PACK DE 100 UNIDADES (TOTAL 200 UNIDADES);2;SOBR
1057532-259-COT25;44121701;Lápiz pasta;1 CAJA LAPIZ PASTA AZUL 50 UNIDADES;1;BX
1057532-259-COT25;44102001;Lámina para plastificar;2 CAJA DE MICA TERMOLAMINAR OFICIO 75 MIC. 100 UNIDADES;2;RM
1057532-272-COT25;82101502;Publicidad en carteles;1 Pendón estilo roller 2 mts largo x 1 mt ancho con base aluminio, tela de impresión durable a color y bolso de traslado (Se cuenta con diseño desde comunicaciones) Segun EET;1;EA
1057532-265-COT25;52161512;Parlantes;"Parlante Karaoke Bluetooth 8"" x2 60W";1;EA
1057532-265-COT25;52161512;Parlantes;Parlante Bluetooth K3 Pro Negro;1;EA
1057532-265-COT25;24122002;Botellas de plástico;Botella deportiva para agua de plástico rígido con bombilla;15;EA
1057532-265-COT25;49161526;Material de entrenamiento de fútbol;Conos de Futbol o Baby, Altura de 23 cm y un diámetro en la base de 14 cm, los conos deportivos lentejas tienen un peso de 100 gramos;10;EA
1057532-265-COT25;42251703;Escaleras de entrenamiento para rehabilitación o terapia;Escalera Deportiva Crossfit De Coordinación 6mts Con Estuche;1;EA
1057532-265-COT25;42251618;Aparatos para ejercicios de rehabilitación o terapia de muñeca;Mancuernas 1 kg, hierro fundido recubierto de vinilo antideslizante de alta calidad. 1 Kg 5 Pares;5;EA
1057532-265-COT25;42251618;Aparatos para ejercicios de rehabilitación o terapia de muñeca;Mancuernas Hexagonal De Vinilo 2kg C/u/ 5 pares;5;EA
1057532-265-COT25;60141102;Juegos de mesa;Juegos  Twister De Mesa Hasbro;1;EA
1057532-265-COT25;49201609;Bandas de resistencia;Banda elástica de resistencia media.Largo: 150 cm.Ancho: 15 cm.Resistencia baja: 0,35 mm.;5;EA
1057532-265-COT25;53102512;pañuelos;10 Pañuelos de cueca de algodón;10;EA
1057532-265-COT25;49201609;Bandas de resistencia;Banda elástica de resistencia media. Largo: 150 cm. Ancho: 15 cm. Resistencia media: 0,45 mm.;5;EA
1077241-24-COT25;44121708;Marcadores;2 marcadores de pizarra negro,  2 marcadores de pizarra azul , 2 marcadores rojos, , según EETT;6;EA
1077241-24-COT25;44111905;Pizarras para plumón y accesorios;Pizarra Acrilica para colgar 90 x 120 cm, según EETT;1;EA
1077241-24-COT25;44121804;Borradores;1 Borrador de franela con 2 imanes, segun EETT;1;EA
1077241-24-COT25;44122011;Carpetas para archivos;30 carpetas de colores plastificadas, segun EETT;30;EA
1077241-24-COT25;55121606;Etiquetas autoadhesivas;30 Stickers de identificacion RECTANGULAR BLANCA 35x70 MM, segun EETT;30;EA
