CodigoCompraAgil;Nombre;Descripcion;EstadoID;EstadoCodigo;EstadoGlosa;ConvocatoriaEstado;ConvocatoriaDescripcion;FechaCierrePrimerLlamado;FechaCierreSegundoLlamado;FechaPublicacion;FechaCierre;FechaUltimoCambio;FechaCancelacion;DireccionEntrega;PlazoEntregaDias;TipoPresupuesto;Moneda;PresupuestoEstimado;MontoDisponible;MontoDisponibleCLP;ValorCambioMoneda;FechaCambioMoneda;OC_ID;OC_Codigo;OrganismoComprador;RutComprador;UnidadCompra;Region;NombreRegion;MultaSancion;TotalOfertasRecibidas;TotalDemandas;MotivoCancelacion;MotivoDesierta;MotivoSeleccion;RequisitosMedioambientales;RequisitosImpactoSocial;TotalDocumentos;TotalProductosSolicitados;TotalProveedoresCotizando
1057532-254-COT25;F1-127-AVP//Servicio de Cafeteria, para capacitación destinada a equipos profesionales de la red APS//DAP;El oferente debe aceptar las condiciones solicitadas para la actividad, día y horarios, además de entregar el servicio con la mejor disposición, calidad e higiene, ya que el servicio será evaluado en futuras prestaciones de este servicio, además debe adjuntar Resolución Sanitaria y Aceptar condiciones según especificaciones adjuntas. debe aceptar y firmar adjunto con especificaciones tecnicas del servicio, ademas de Enviar Resolucion Sanitaria.;5;cancelada;Cancelada;1;Primer llamado;2025-04-21 21:00;2025-04-26 01:46;2025-04-17 16:14;2025-04-21 21:00;2025-04-21 16:38;2025-04-21 16:38;A convenir;1;Estimado;CLP;500000;500000;500000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;1;1;0;se cancela , se supende fecha de actividad;;;;;1;1;1
1057532-249-COT25;F2-125/ADQUISICION TRAZODONA 100 MG EN COMPRIMIDOS/COSAM RAHUE;Se solicita la compra de 10.000 comprimidos de Trazodona 100 mg, ya que de acuerdo a ORD. 769 adjunto de Cenabast el medicamento se encuentra suspendido en los próximos meses y se requiere dar continuidad al tratamiento farmacológico de los usuarios de Cosam Rahue.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-04-21 11:00;2025-04-25 11:13;2025-04-17 10:48;2025-04-21 11:00;2025-04-21 12:30;;Av.  Manuel Rodriguez 759,;3;Estimado;CLP;5500000;5500000;5500000;;;52562317;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;1;4;0;;;;;;1;1;4
1057532-245-COT25;F3-008//AVP//Mudanza para Profesional, de acuerdo a el art. 29 inciso 1° de la Ley N°15.076,//Sección Gestión y Desarrollo Ley;La mudanza se debe realizar según el Inventario adjunto, según día y desde la ciudad actual y ciudad de destino. además debe firmar el adjunto, aceptando y cumpliendo las condiciones estipuladas en el anexo, para traslado del Funcionario profesional, de acuerdo a beneficio de acuerdo a lo que señala el art. 29 inciso 1° de la Ley N°15.076. Las ofertas que cumplan con los requisitos antes mencionados, será sometidas a la correspondiente evaluación.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-04-21 10:45;2025-04-26 10:19;2025-04-16 11:11;2025-04-21 10:45;2025-04-21 12:02;;A Convenir;1;Estimado;CLP;1000000;1000000;1000000;;;52561760;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;1;9;0;;;;;;2;1;9
1077241-23-COT25;F1-152-MAR ADQUISICION DE UN SERVICIO DE CAFETERIA.;ADQUISICION DE UN SERVICIO DE CAFETERIA.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-04-21 09:00;2025-04-25 03:33;2025-04-17 14:28;2025-04-21 09:00;2025-04-21 11:24;;HOPITAL DE PURRANQUE.;1;Estimado;CLP;400000;400000;400000;;;52560894;;SERVICIO DE SALUD OSORNO;61.607.600-0;Administración de Fondos;10;Región de los Lagos ;0;2;0;;;;;;1;1;2
1057532-248-COT25;F1-129-MAR ADQUISICION DE INSUMOS PARA CAFETERIA.;ADQUISICION DE INSUMOS PARA CAFETERIA.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-04-21 08:30;2025-04-26 04:38;2025-04-16 12:22;2025-04-21 08:30;2025-04-21 11:20;;A CONVENIR;1;Estimado;CLP;1780000;1780000;1780000;;;52560820;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;2;0;;;;;;2;16;2
1057532-198-COT25;F1-125/ADQUISICION REGLA COMPLEMENTARIA PARA NIVEL LASER ROTATORIO/SUB.DPTO.DISEÑO;Compra Regla complementaria para nivel laser rotatorio.;5;cancelada;Cancelada;2;Segundo llamado;2025-04-04 14:40;2025-04-06 14:45;2025-04-02 14:35;2025-04-06 14:45;2025-04-21 11:10;2025-04-21 11:10;MANUEL RODRIGUEZ #759;5;Disponible;CLP;85000;85000;85000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;1;0;0;COMPRA AGIL SIN OFERTAS;;;;;2;1;0
1057532-247-COT25;F1-129-MAR ADQUISICION DE INSUMOS;ADQUISICION DE INSUMOS.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-04-21 08:00;2025-04-26 04:13;2025-04-16 11:46;2025-04-21 08:00;2025-04-21 08:22;;MANUEL RODRIGUEZ 759 OSORNO.;1;Estimado;CLP;7000;7000;7000;;;52559088;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;1;0;;;;;;0;1;1
1057532-246-COT25;F1-129-MAR  ADQUISICION DE INSUMOS PARA CAFETERIA.;ADQUISICION DE INSUMOS PARA CAFETERIA.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-04-21 08:00;2025-04-26 04:23;2025-04-16 11:37;2025-04-21 08:00;2025-04-21 08:19;;MANUEL RODRIGUEZ 759 OSORNO;1;Estimado;CLP;180000;180000;180000;;;52559072;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;5;0;;;;;;0;3;5
1057532-250-COT25;F1-119-MAR  ADQUISICION DE 2 CORCHETERAS.;ADQUISICION DE 2 CORCHETERAS.;5;cancelada;Cancelada;1;Primer llamado;2025-04-21 08:00;2025-04-25 06:53;2025-04-17 09:07;2025-04-21 08:00;2025-04-21 08:11;2025-04-21 08:11;MANUEL RODRIGUEZ 759 OSORNO.;1;Estimado;CLP;35000;35000;35000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;3;0;se deja sin efecto por falta de presupuesto.;;;;;1;1;3
1057532-252-COT25;F2-137-IVO//ADQUISICION DE UNIDADES DE ALMACENAMIENTO SSD EXTERNAS;Contar con unidades de almacenamiento SSD Externas para el equipo de soporte tic del SSO, que permitan reducir y optimizar los tiempos de respaldo y transferencia de información en trabajos de formateo y reacondicionamiento de equipos computacionales.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-04-21 14:30;2025-04-25 13:49;2025-04-17 15:12;2025-04-21 14:30;2025-04-21 04:22;;Manuel Rodriguez N° 759;5;Estimado;CLP;750000;750000;750000;;;52565660;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;10;0;;;;;;1;1;10
