CodigoCompraAgil;Nombre;Descripcion;EstadoID;EstadoCodigo;EstadoGlosa;ConvocatoriaEstado;ConvocatoriaDescripcion;FechaCierrePrimerLlamado;FechaCierreSegundoLlamado;FechaPublicacion;FechaCierre;FechaUltimoCambio;FechaCancelacion;DireccionEntrega;PlazoEntregaDias;TipoPresupuesto;Moneda;PresupuestoEstimado;MontoDisponible;MontoDisponibleCLP;ValorCambioMoneda;FechaCambioMoneda;OC_ID;OC_Codigo;OrganismoComprador;RutComprador;UnidadCompra;Region;NombreRegion;MultaSancion;TotalOfertasRecibidas;TotalDemandas;MotivoCancelacion;MotivoDesierta;MotivoSeleccion;RequisitosMedioambientales;RequisitosImpactoSocial;TotalDocumentos;TotalProductosSolicitados;TotalProveedoresCotizando
1180747-31-COT25;F5-002-IVO-ADQUISICION SOPORTE UNIVERSAL-PSR COSTA RIO BLANCO, RIO NEGRO.;Adquisición de equipos y equipamiento para habilitación de Posta de Salud Costa Rio Blanco, Río Negro;3;cerrada;Cerrada;2;Segundo llamado;2025-05-17 12:30;2025-05-19 12:25;2025-05-15 12:35;2025-05-19 12:25;2025-05-19 12:25;;Manuel Rodriguez # 759;5;Estimado;CLP;180000;180000;180000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Compras Convenio GORE Region de Los Lagos;10;Región de los Lagos ;1;0;0;;;;;;3;1;0
1180747-33-COT25;F5-2-IVO / ADQUISICION EQUIPOS & EQUIPAMIENTO PARA HABILITACION PSR COSTA RIO BLANCO- RIO NEGRO;Adquisición de equipos y equipamiento para habilitación de Posta de Salud Rural Costa Rio blanco, Rio negro.;3;cerrada;Cerrada;2;Segundo llamado;2025-05-17 12:30;2025-05-19 12:07;2025-05-15 12:52;2025-05-19 12:07;2025-05-19 12:07;;Manuel Rodriguez # 759;5;Estimado;CLP;590000;590000;590000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Compras Convenio GORE Region de Los Lagos;10;Región de los Lagos ;1;0;0;;;;;;5;3;0
1057532-331-COT25;Depto. Prevención de Riesgos-PANTALONES DE COCINA BLANCO;Se requiere la compra de 51 Pantalones de Cocina Color Blanco, de acuerdo a Términos de Referencia adjuntos.;5;cancelada;Cancelada;2;Segundo llamado;2025-05-16 14:00;2025-05-20 15:39;2025-05-12 12:21;2025-05-20 15:39;2025-05-19 12:03;2025-05-19 12:03;MANUEL RODRIGUEZ 759, OSORNO;15;Estimado;CLP;1530000;1530000;1530000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;1;0;0;SE REALIZARÁ COMPRA A TRAVÉS DE LICITACIÓN PÚBLICA.;;;;;1;1;0
1180747-34-COT25;F5-002-IVO-ADQUISICIÓN DE EQUIPOS Y EQUIPAMIENTO PARA HABILITACIÓN DE POSTA DE SALUD RURAL COSTA RIO BLANCO.;Adquisición de equipos y equipamiento para habilitación de Posta de Salud Costa Rio Blanco, Río Negro;5;cancelada;Cancelada;1;Primer llamado;2025-05-17 12:30;2025-05-19 10:52;2025-05-15 14:08;2025-05-17 12:30;2025-05-19 08:55;2025-05-19 08:55;Amador Barrientos # 2360 (Base Samu);5;Estimado;CLP;570000;570000;570000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Compras Convenio GORE Region de Los Lagos;10;Región de los Lagos ;1;2;0;Ningún proveedor participó con la totalidad de los ítems.;;;;;6;4;2
1180747-35-COT25;F5-018-BMC-ADQUISICION DE SET DE CONTENEDORES DE 220 L PARA HABILITACION DE POSTA DE SALUD RURAL CHAN CHAN, RIO NEGRO.;Adquisición de Set de contenedores de 220 L para habilitación de Posta de Salud Rural Chan Chan, Río Negro.;5;cancelada;Cancelada;1;Primer llamado;2025-05-16 15:00;2025-05-17 15:02;2025-05-15 14:58;2025-05-16 15:00;2025-05-19 08:51;2025-05-19 08:51;Amador Barrientos #2360 (Base Samu);5;Estimado;CLP;183000;183000;183000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Compras Convenio GORE Region de Los Lagos;10;Región de los Lagos ;1;2;0;Ofertas exceden el presupuesto disponible;;;;;4;1;2
1057922-37-COT25;F1-184-BMC-ADQUISICION CARRO ENFERMERIA PARA SAFU;Adquisición de carro de enfermería para habilitación de box dentales de SAFU;5;cancelada;Cancelada;2;Segundo llamado;2025-05-13 09:00;2025-05-16 15:07;2025-05-12 08:19;2025-05-16 15:07;2025-05-19 08:44;2025-05-19 08:44;AMADOR BARRIENTOS #2360 (BASE SAMU OSORNO);5;Estimado;CLP;440000;440000;440000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Activos Fijos;10;Región de los Lagos ;1;1;0;Proveedor no cumple con los requerimientos técnicos solicitados.;;;;;2;1;1
1057532-308-COT25;F1-100-MAR ADQUISICION DE INSUMOS PARA TALLER DE ARTE TERAPIA.;F1-100-MAR ADQUISICION DE INSUMOS PARA TALLER DE ARTE TERAPIA.;5;cancelada;Cancelada;1;Primer llamado;2025-05-07 13:01;2025-05-08 15:06;2025-05-06 10:56;2025-05-07 13:01;2025-05-19 08:44;2025-05-19 08:44;MANUEL RODRIGUEZ 759 OSORNO;8;Estimado;CLP;280000;280000;280000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;1;0;SE DEJO SIN EFECTO POR FALTA DE PRESUPUESTO.;;;;;1;27;1
1057532-307-COT25;F1-100-MAR ADQUISICION DE INSUMOS PARA TALLER DE ARTE TERAPIA.;F1-100-MAR ADQUISICION DE INSUMOS PARA TALLER DE ARTE TERAPIA.;5;cancelada;Cancelada;1;Primer llamado;2025-05-07 12:20;2025-05-08 14:23;2025-05-06 10:17;2025-05-07 12:20;2025-05-19 08:43;2025-05-19 08:43;MANUEL RODRIGUES 759 OSORNO;1;Estimado;CLP;60000;60000;60000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;3;0;SE DEJO SIN EFECTO POR FALTA DE PRESUPUESTO.;;;;;0;1;3
1057532-306-COT25;F1-100-MAR ADQUISICON DE INSUMOS PARA TALLER DE ARTE TERAPIA.;F1-100-MAR ADQUISICON DE INSUMOS PARA TALLER DE ARTE TERAPIA.;5;cancelada;Cancelada;1;Primer llamado;2025-05-07 12:10;2025-05-08 14:11;2025-05-06 10:09;2025-05-07 12:10;2025-05-19 08:42;2025-05-19 08:42;MANUEL RODRIGUEZ 759 OSORNO;8;Estimado;CLP;20000;20000;20000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;2;0;se dejo sin efecto por falta de presupuesto.;;;;;0;2;2
1057532-334-COT25;F1-195-IVO/ADQUISICION DE INSUMOS INFORMATICOS;COMPRA DE INSUMOS INFORMÁTICOS PARA HABILITACIÓN 2 PUESTOS DE TRABAJO DEPARTAMENTO DE ATENCIÓN PRIMARIA.;5;cancelada;Cancelada;2;Segundo llamado;2025-05-16 09:31;2025-05-17 12:41;2025-05-15 09:25;2025-05-17 12:41;2025-05-19 08:41;2025-05-19 08:41;Manuel Rodriguez N° 759;5;Estimado;CLP;166000;166000;166000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;1;0;REFERENTE INDICA QUE DISCO OFERTADO NO CUMPLE CON CARACTERISTICAS TECNICAS (VELOCIDADES), SE VOLVERA A PUBLICAR;;;;;2;2;1
